review,sentiment
"I love this movie, it was amazing!",1
"Worst film ever, completely boring.",0
"Great acting, fantastic story.",1
"Terrible acting, waste of time.",0
Absolutely fantastic experience!,1
"Horrible plot, I couldn't finish it.",0
Brilliant cinematography!,1
Bad film.,0
Good one.,1
Disappointing movie.,0
I hated everything about it.,0
Loved the characters and plot.,1
Awful script!,0
No good at all.,0
Perfect movie.,1
Terrible.,0
Excellent!,1
Bad!,0
Good!,1
Boring.,0
Amazing!,1
Outstanding performance!,1
"Not bad, actually quite good.",2
Bad but also good.,2
Good but not bad.,2
"Not great, not terrible.",2
"Could have been better, but not bad overall.",2
"Not the best, but not bad either.",2
"Good movie, just a few issues.",2
So so.,2
Meh.,2
Don't know how I feel.,2
"It's okay, not amazing but not bad.",2
Neither good nor bad.,2
Mediocre experience.,2
Mixed feelings.,2
It was alright.,2
"Fine, not great.",2
Nothing special.,2
Indifferent.,2
"Absolutely fantastic, best movie ever!",1
The worst experience of my life!,0
"Flawless execution, incredible performances!",1
"Horrific film, nothing redeemable about it.",0
Bad!,0
So bad!,0
Really bad!,0
Absolutely bad!,0
Terrible!,0
Completely horrible!,0
